filename,label
n00100075aa8-d81a-4184-8541-b692b78d398a___FREC_Scab 3335.JPG,n001
n00101a66316-0e98-4d3b-a56f-d78752cd043f___FREC_Scab 3003.JPG,n001
n00101f3deaa-6143-4b6c-9c22-620a46d8be04___FREC_Scab 3112.JPG,n001
n0010208f4eb-45a4-4399-904e-989ac2c6257c___FREC_Scab 3037.JPG,n001
n001023123cb-7b69-4c9f-a521-766d7c8543bb___FREC_Scab 3487.JPG,n001
n0010261a6e4-21f8-481a-8827-b674e6955644___FREC_Scab 3055.JPG,n001
n001029424b0-0ef5-491b-9ef5-069190d24d8f___FREC_Scab 3504.JPG,n001
n00103354abb-aa1c-4f9d-a1ef-9f40505cd539___FREC_Scab 3355.JPG,n001
n0010340dc35-5215-48ab-8db7-06af99fcb358___FREC_Scab 2966.JPG,n001
n0010395b847-2c73-4674-826f-33a6afb5b4fe___FREC_Scab 3287.JPG,n001
n00103eccb1a-0368-4ac7-9f48-7546037b775a___FREC_Scab 3334.JPG,n001
n0010537ad56-3d24-4e97-a947-65b9b37f8988___FREC_Scab 3079.JPG,n001
n001058d5e64-2c57-45ba-94cb-ac83fd1885a0___FREC_Scab 3181.JPG,n001
n0010631708e-5bac-4611-8ff9-6d5ee87ce3b3___FREC_Scab 3252.JPG,n001
n0010672ab32-9fce-41f3-ae69-e39c48a0a292___FREC_Scab 3347.JPG,n001
n00106cf74b6-d895-4a09-b3b1-bc63579f8c33___FREC_Scab 3128.JPG,n001
n001073b509f-c1ea-4e61-881b-2e874c5f4199___FREC_Scab 3286.JPG,n001
n001075b1885-250b-4b3e-8168-e54efdbb04e8___FREC_Scab 3173.JPG,n001
n0010812e1e4-6d1b-4264-8f23-6519354fc5a6___FREC_Scab 3293.JPG,n001
n0010896ecbc-1af2-4868-8279-ed302acb29bc___FREC_Scab 3339.JPG,n001
n00108c42d78-aa7b-4106-b0c1-b260f898dcba___FREC_Scab 3151.JPG,n001
n001095c9131-a0cb-47de-898a-f9371f208c01___FREC_Scab 3109.JPG,n001
n00109ba6ad9-aa8d-4493-b1bf-818a4b30c4aa___FREC_Scab 2981.JPG,n001
n00109e40e4f-f8bc-4537-b20d-0b244760dbf4___FREC_Scab 3216.JPG,n001
n0010a14783a-838a-4d4f-a671-ff98011714c6___FREC_Scab 3288.JPG,n001
n0010a5e9323-dbad-432d-ac58-d291718345d9___FREC_Scab 3417.JPG,n001
n0010a6812de-7416-4ffe-aba9-307599a02c84___FREC_Scab 2973.JPG,n001
n0010a769a71-052a-4f19-a4d8-b0f0cb75541c___FREC_Scab 3165.JPG,n001
n0010b170906-9436-4c0d-84c1-c396ad9d909b___FREC_Scab 3101.JPG,n001
n0010b1e31fa-cbc0-41ed-9139-c794e6855e82___FREC_Scab 3089.JPG,n001
n0010b4a52e3-e15e-4117-b2e8-7cdb5dca3ce9___FREC_Scab 3137.JPG,n001
n0010c620ec5-11cf-4120-94ab-1311e99df147___FREC_Scab 3131.JPG,n001
